seq,book,c,net,err
3000.0,1.1111111111111112E-4,9.0,0.0,12.229448936603099
3000.0,1.1111111111111112E-4,9.0,500.0,12.210996251844346
3000.0,1.1111111111111112E-4,9.0,1000.0,12.196934309923238
3000.0,1.1111111111111112E-4,9.0,1500.0,12.19740831666157
3000.0,1.1111111111111112E-4,9.0,2000.0,12.221649909776861
3000.0,1.1111111111111112E-4,9.0,2500.0,12.254418595720434
3000.0,1.1111111111111112E-4,9.0,3000.0,12.290125010816588
3000.0,1.1111111111111112E-4,9.0,3500.0,12.328069245236073
3000.0,1.1111111111111112E-4,9.0,4000.0,12.367507748263112
3000.0,1.1111111111111112E-4,9.0,4500.0,12.408118892956734
3000.0,1.1111111111111112E-4,9.0,5000.0,12.449500939536511
3000.0,1.1111111111111112E-4,9.0,5500.0,12.491657678432675
3000.0,1.1111111111111112E-4,9.0,6000.0,12.534391975922551
3000.0,1.1111111111111112E-4,9.0,6500.0,12.577525042464254
3000.0,1.1111111111111112E-4,9.0,7000.0,12.621137941042338
3000.0,1.1111111111111112E-4,9.0,7500.0,12.665120229900273
3000.0,1.1111111111111112E-4,9.0,8000.0,12.70945963502543
3000.0,1.1111111111111112E-4,9.0,8500.0,12.753925094373562
3000.0,1.1111111111111112E-4,9.0,9000.0,12.798740084685331
3000.0,1.1111111111111112E-4,9.0,9500.0,12.843662383161268
3000.0,1.1111111111111112E-4,9.0,10000.0,12.888753342613347
3000.0,1.1111111111111112E-4,10.0,0.0,11.446905634046841
3000.0,1.1111111111111112E-4,10.0,500.0,11.427698312995918
3000.0,1.1111111111111112E-4,10.0,1000.0,11.412607479536135
3000.0,1.1111111111111112E-4,10.0,1500.0,11.411380567452229
3000.0,1.1111111111111112E-4,10.0,2000.0,11.434712250182281
3000.0,1.1111111111111112E-4,10.0,2500.0,11.467179299369802
3000.0,1.1111111111111112E-4,10.0,3000.0,11.503114269674604
3000.0,1.1111111111111112E-4,10.0,3500.0,11.54120825842971
3000.0,1.1111111111111112E-4,10.0,4000.0,11.580915377115192
3000.0,1.1111111111111112E-4,10.0,4500.0,11.621959015371221
3000.0,1.1111111111111112E-4,10.0,5000.0,11.663770032820088
3000.0,1.1111111111111112E-4,10.0,5500.0,11.706228263570194
